testcase,num_ants,alpha,beta,rho,k,cost
medium_15_N30_M300,50,1.0,4.0,0.1,1,69650
medium_15_N30_M300,50,1.0,4.0,0.1,2,68012
medium_15_N30_M300,50,2.0,2.0,0.1,0,75828
medium_15_N30_M300,50,2.0,2.0,0.1,1,77788
medium_15_N30_M300,50,2.0,2.0,0.1,2,77233
medium_15_N30_M300,50,2.0,3.0,0.1,0,70968
medium_15_N30_M300,50,2.0,3.0,0.1,1,74418
medium_15_N30_M300,50,2.0,3.0,0.1,2,72189
medium_15_N30_M300,50,2.0,4.0,0.1,0,68082
medium_15_N30_M300,50,2.0,4.0,0.1,1,69292
medium_15_N30_M300,50,2.0,4.0,0.1,2,68763
medium_15_N30_M300,100,1.0,2.0,0.1,0,106244
medium_15_N30_M300,100,1.0,2.0,0.1,1,108885
medium_15_N30_M300,100,1.0,2.0,0.1,2,115243
medium_15_N30_M300,100,1.0,3.0,0.1,0,75708
medium_15_N30_M300,100,1.0,3.0,0.1,1,84214
medium_15_N30_M300,100,1.0,3.0,0.1,2,75618
medium_15_N30_M300,100,1.0,4.0,0.1,0,66752
medium_15_N30_M300,100,1.0,4.0,0.1,1,69255
medium_15_N30_M300,100,1.0,4.0,0.1,2,71534
medium_15_N30_M300,100,2.0,2.0,0.1,0,78206
medium_15_N30_M300,100,2.0,2.0,0.1,1,78290
medium_15_N30_M300,100,2.0,2.0,0.1,2,73660
medium_15_N30_M300,100,2.0,3.0,0.1,0,72986
medium_15_N30_M300,100,2.0,3.0,0.1,1,68171
medium_15_N30_M300,100,2.0,3.0,0.1,2,71560
medium_15_N30_M300,100,2.0,4.0,0.1,0,68252
medium_15_N30_M300,100,2.0,4.0,0.1,1,73006
